p.ID,p.treat,r.sizediff,l.size,s.size,clutches,totalegg,ave.clutch,totalmass,ave.mass,ave.eggsize,ave.eggSD,egglatency,Volume_cone1,Volume_cone2,Volume_coneave,Volume_conesum
C1,PC,31.14503817,8.59,6.55,1,16,16,12.15922021,12.15922021,0.8478,0.08166517,7,52.8988564,21.0061775,36.95251695,73.9050339
C2,PC,26.14475628,8.54,6.77,2,28,14,20.17098833,10.08549417,0.7894,0.070755647,2,56.79218604,26.40784245,41.60001424,83.20002848
C3,PC,18.24512535,8.49,7.18,3,42,14,26.36762276,8.789207587,0.8308,0.046485496,0,56.68394771,25.04262299,40.86328535,81.7265707
C4,PC,19.79522184,10.53,8.79,1,23,23,12.58401066,12.58401066,0.8296,0.070769344,5,92.41769677,54.1304945,73.27409563,146.5481913
C5,PC,18.66666667,8.9,7.5,4,54,13.5,38.1020211,9.525505275,0.79575,0.09173511,2,60.12942813,28.35294,44.24118406,88.48236813
C6,PC,4.735376045,7.52,7.18,3,29,9.666666667,33.60342771,11.20114257,0.787,0.093801036,2,63.00841131,31.1385119,47.0734616,94.14692321
C7,PC,24.38316401,8.57,6.89,2,33,16.5,31.93224729,15.96612364,0.7491,0.048836436,2,39.88868576,32.45018016,36.16943296,72.33886592
C8,PC,1.664145234,6.72,6.61,4,31,7.75,41.49541241,10.3738531,0.8194375,0.072279002,3,102.4274918,40.17203426,71.299763,142.599526
C9,PC,2.733118971,6.39,6.22,2,26,13,21.8702758,10.9351379,0.8715,0.080780926,3,53.60053825,48.94792133,51.27422979,102.5484596
C10,PC,6.92431562,6.64,6.21,3,30,10,20.62651927,6.875506422,0.8416,0.087407816,3,41.51000269,34.25138196,37.88069233,75.76138465
F1,PF,4.987212276,8.21,6.84,3,25,8.333333333,23.99752672,7.999175574,0.76575,0.054071981,1,61.06146466,38.91789785,49.98968126,99.97936251
F2,PF,22.86096257,9.19,7.67,4,54,13.5,41.74188292,10.43547073,0.8399,0.119516837,1,62.08870163,29.48048956,45.7845956,91.56919119
F3,PF,1.390498262,8.75,7.89,4,59,14.75,37.57643265,9.394108162,0.77405,0.069953682,1,49.3189312,43.54211078,46.43052099,92.86104198
F4,PF,12.29946524,8.4,8.5,1,6,6,8.314028608,8.314028608,0.6566,0.049912924,1,47.14231553,38.60443319,42.87337436,85.74674872
F5,PF,2.069857697,7.89,7.56,2,18,9,16.44223201,8.221116005,0.8528,0.041394463,5,43.32889379,33.19396889,38.26143134,76.52286268
F6,PF,8.946095861,7.66,7.28,2,26,13,20.14098612,10.07049306,0.8992,0.067532657,2,29.03019356,28.59060204,28.8103978,57.6207956
F7,PF,4.55136541,8.04,6.61,2,22,11,16.93114237,8.465571184,0.8832,0.058512392,2,45.83817663,25.90999231,35.87408447,71.74816894
F8,PF,0.775193798,7.8,6.91,4,59,14.75,51.99001262,12.99750316,0.85025,0.091865855,0,23.43822096,26.45602647,24.94712372,49.89424743
F9,PF,6.52866242,6.69,6.27,3,28,9.333333333,27.1563196,9.052106532,0.894133333,0.085850375,4,23.77678884,19.38198339,21.57938611,43.15877223
F10,PF,1.408450704,7.2,6.8,3,33,11,23.20074029,7.733580096,0.9126,0.066784653,2,24.57612524,21.07008288,22.82310406,45.64620812
H1,PH,37.42690058,9.4,7.82,3,40,13.33333333,32.71802244,10.90600748,0.750133333,0.074090394,3,87.19256775,26.801775,56.99717138,113.9943428
H2,PH,2.60756193,7.87,7.48,2,7,3.5,9.193855193,4.596927596,0.791,0.039003652,3,35.36673165,24.46508852,29.91591009,59.83182017
H3,PH,36.37515843,10.76,8.63,1,7,7,6.858096763,6.858096763,0.871,0.069580888,2,44.33316592,29.6727458,37.00295586,74.00591172
H4,PH,8.117647059,9.19,7.48,3,21,7,28.66360077,9.554533591,0.841883333,0.060659058,0,30.30896221,18.31176122,24.31036171,48.62072343
H5,PH,4.497354497,7.9,7.73,4,29,7.25,34.59949087,8.649872717,0.8016125,0.084258536,1,30.34218227,27.63573366,28.98895797,57.97791593
H6,PH,50.68681319,10.97,7.031,3,26,8.666666667,12.79308365,4.264361216,0.699,0.088252479,1,28.80559377,22.29180462,25.5486992,51.0973984
H7,PH,19.81845688,7.92,7.69,3,31,10.33333333,7.370176365,2.456725455,0.854,0.096555683,1,34.18501566,41.86254885,38.02378226,76.04756452
H8,PH,24.31259045,8.59,7.74,1,11,11,20.75524603,20.75524603,0.9218,0.103601158,3,38.81836358,29.72406147,34.27121253,68.54242506
H9,PH,23.28548644,7.73,6.28,2,25,12.5,7.392560213,3.696280106,0.6988,0.060005833,2,27.88313178,17.58023966,22.73168572,45.46337145
H10,PH,7.058823529,7.28,7.1,1,5,5,9.230509725,9.230509725,0.8142,0.062463589,2,26.79074798,29.44381871,28.11728335,56.2345667
