p.ID,p.treat,clutches,totalegg,egglatency,Volume_conesum,clutch.size,clutch.no,days.between,eggsize,eggSD,mass.area,tank,,
C1,PC,1,16,7,73.9050339,16,c1-1,7,0.821,0.081985974,12.15922021,C1A,,
C1,PC,1,16,7,73.9050339,16,c1-1,7,0.834,0.081985974,12.15922021,C1A,,
C1,PC,1,16,7,73.9050339,16,c1-1,7,0.754,0.081985974,12.15922021,C1A,,
C1,PC,1,16,7,73.9050339,16,c1-1,7,0.978,0.081985974,12.15922021,C1A,,
C1,PC,1,16,7,73.9050339,16,c1-1,7,0.852,0.081985974,12.15922021,C1A,,
C2,PC,2,28,2,83.20002848,11,c2-1,2,0.797,0.050669123,7.661716164,C2A,,
C2,PC,2,28,2,83.20002848,11,c2-1,2,0.805,0.050669123,7.661716164,C2A,,
C2,PC,2,28,2,83.20002848,11,c2-1,2,0.807,0.050669123,7.661716164,C2A,,
C2,PC,2,28,2,83.20002848,11,c2-1,2,0.847,0.050669123,7.661716164,C2A,,
C2,PC,2,28,2,83.20002848,11,c2-1,2,0.695,0.050669123,7.661716164,C2A,,
C2,PC,2,28,2,83.20002848,17,c2-2,5,0.884,0.090842171,12.50927217,C2A,,
C2,PC,2,28,2,83.20002848,17,c2-2,5,0.751,0.090842171,12.50927217,C2A,,
C2,PC,2,28,2,83.20002848,17,c2-2,5,0.728,0.090842171,12.50927217,C2A,,
C2,PC,2,28,2,83.20002848,17,c2-2,5,0.693,0.090842171,12.50927217,C2A,,
C2,PC,2,28,2,83.20002848,17,c2-2,5,0.887,0.090842171,12.50927217,C2A,,
C3,PC,3,42,0,81.7265707,19,c3-1,0,0.708,0.031216983,9.216568908,C3A,,
C3,PC,3,42,0,81.7265707,19,c3-1,0,0.758,0.031216983,9.216568908,C3A,,
C3,PC,3,42,0,81.7265707,19,c3-1,0,0.751,0.031216983,9.216568908,C3A,,
C3,PC,3,42,0,81.7265707,19,c3-1,0,0.695,0.031216983,9.216568908,C3A,,
C3,PC,3,42,0,81.7265707,19,c3-1,0,0.693,0.031216983,9.216568908,C3A,,
C3,PC,3,42,0,81.7265707,16,c3-2,7,0.971,0.054071249,10.89111633,C3B,,
C3,PC,3,42,0,81.7265707,16,c3-2,7,0.975,0.054071249,10.89111633,C3B,,
C3,PC,3,42,0,81.7265707,16,c3-2,7,0.938,0.054071249,10.89111633,C3B,,
C3,PC,3,42,0,81.7265707,16,c3-2,7,0.863,0.054071249,10.89111633,C3B,,
C3,PC,3,42,0,81.7265707,16,c3-2,7,1.004,0.054071249,10.89111633,C3B,,
C3,PC,3,42,0,81.7265707,7,c3-3,7,0.883,0.054168256,6.259937522,C3B,,
C3,PC,3,42,0,81.7265707,7,c3-3,7,0.854,0.054168256,6.259937522,C3B,,
C3,PC,3,42,0,81.7265707,7,c3-3,7,0.817,0.054168256,6.259937522,C3B,,
C3,PC,3,42,0,81.7265707,7,c3-3,7,0.813,0.054168256,6.259937522,C3B,,
C3,PC,3,42,0,81.7265707,7,c3-3,7,0.739,0.054168256,6.259937522,C3B,,
C4,PC,1,23,5,146.5481913,23,c4-1,5,0.757,0.071,12.58401066,C4A,,
C4,PC,1,23,5,146.5481913,23,c4-1,5,0.764,0.071,12.58401066,C4A,,
C4,PC,1,23,5,146.5481913,23,c4-1,5,0.89,0.071,12.58401066,C4A,,
C4,PC,1,23,5,146.5481913,23,c4-1,5,0.912,0.071,12.58401066,C4A,,
C4,PC,1,23,5,146.5481913,23,c4-1,5,0.825,0.071,12.58401066,C4A,,
C5,PC,4,54,2,88.48236813,16,c5-1,2,0.769,0.1,13.14238163,C5A,,
C5,PC,4,54,2,88.48236813,16,c5-1,2,0.648,0.1,13.14238163,C5A,,
C5,PC,4,54,2,88.48236813,16,c5-1,2,0.851,0.1,13.14238163,C5A,,
C5,PC,4,54,2,88.48236813,16,c5-1,2,0.809,0.1,13.14238163,C5A,,
C5,PC,4,54,2,88.48236813,16,c5-1,2,0.915,0.1,13.14238163,C5A,,
C5,PC,4,54,2,88.48236813,13,c5-2,2,0.796,0.085452911,6.064844618,C5A,,
C5,PC,4,54,2,88.48236813,13,c5-2,2,0.804,0.085452911,6.064844618,C5A,,
C5,PC,4,54,2,88.48236813,13,c5-2,2,0.765,0.085452911,6.064844618,C5A,,
C5,PC,4,54,2,88.48236813,13,c5-2,2,0.596,0.085452911,6.064844618,C5A,,
C5,PC,4,54,2,88.48236813,13,c5-2,2,0.768,0.085452911,6.064844618,C5A,,
C5,PC,4,54,2,88.48236813,11,c5-3,5,0.758,0.10543861,8.551572283,C5A,,
C5,PC,4,54,2,88.48236813,11,c5-3,5,0.927,0.10543861,8.551572283,C5A,,
C5,PC,4,54,2,88.48236813,11,c5-3,5,0.905,0.10543861,8.551572283,C5A,,
C5,PC,4,54,2,88.48236813,11,c5-3,5,0.68,0.10543861,8.551572283,C5A,,
C5,PC,4,54,2,88.48236813,11,c5-3,5,0.763,0.10543861,8.551572283,C5A,,
