o.ID,parent,p.treat,o.treat,ID,survival,size.ave,size.sd,pr.sizediff,l.size,ave.eggsize,ave.eggSD
C1C,c1,PC,OC,13,1,0.803,0.030757113,31.14503817,8.59,0.8478,0.08166517
C1F,c1,PC,OF,8,1,0.8074,0.026063384,31.14503817,8.59,0.8478,0.08166517
C1H,c1,PC,OH,7,1,0.8856,0.020549939,31.14503817,8.59,0.8478,0.08166517
C10C,c10,PC,OC,15,1,0.7854,0.067559603,6.92431562,6.64,0.8416,0.087407816
C10C2,c10,PC,OC,,1,,,6.92431562,6.64,0.8416,0.087407816
C10F,c10,PC,OF,10,1,0.8784,0.032354289,6.92431562,6.64,0.8416,0.087407816
C10F2,c10,PC,OF,,1,,,6.92431562,6.64,0.8416,0.087407816
C10H,c10,PC,OH,7,1,0.806,0.056284989,6.92431562,6.64,0.8416,0.087407816
C10H2,c10,PC,OH,7,0,,,6.92431562,6.64,0.8416,0.087407816
C2C,c2,PC,OC,13,0.7,0.7874,0.044309141,26.14475628,8.54,0.7894,0.070755647
C2F,c2,PC,OF,11,0.555555556,0.7898,0.053363845,26.14475628,8.54,0.7894,0.070755647
C2H,c2,PC,OH,7,0.777777778,0.773,0.044715769,26.14475628,8.54,0.7894,0.070755647
C3C,c3,PC,OC,15,1,0.7302,0.026799254,18.24512535,8.49,0.8308,0.046485496
C3F,c3,PC,OF,8,1,0.9016,0.026245,18.24512535,8.49,0.8308,0.046485496
C3H,c3,PC,OH,7,1,0.8986,0.065117586,18.24512535,8.49,0.8308,0.046485496
C4C,c4,PC,OC,12,1,0.8928,0.05864043,19.79522184,10.53,0.8296,0.070769344
C4F,c4,PC,OF,6,1,0.8398,0.1000035,19.79522184,10.53,0.8296,0.070769344
C4H,c4,PC,OH,9,1,0.894,0.020248457,19.79522184,10.53,0.8296,0.070769344
C5C,c5,PC,OC,13,0.538461538,0.7256,0.097240938,18.66666667,8.9,0.79575,0.09173511
C5C2,c5,PC,OC,,0,,,18.66666667,8.9,0.79575,0.09173511
C5F,c5,PC,OF,8,0.642857143,0.7688,0.108354511,18.66666667,8.9,0.79575,0.09173511
C5F2,c5,PC,OF,9,0.25,,,18.66666667,8.9,0.79575,0.09173511
C5H,c5,PC,OH,7,0.846153846,0.8622,0.099778254,18.66666667,8.9,0.79575,0.09173511
C5H2,c5,PC,OH,7,0.8,,,18.66666667,8.9,0.79575,0.09173511
C6C,c6,PC,OC,14,1,0.7848,0.076816014,4.735376045,7.52,0.787,0.093801036
C6C2,c6,PC,OC,14,1,,,4.735376045,7.52,0.787,0.093801036
C6F,c6,PC,OF,10,0.5,0.8594,0.105029996,4.735376045,7.52,0.787,0.093801036
C6F2,c6,PC,OF,7,1,,,4.735376045,7.52,0.787,0.093801036
C6H,c6,PC,OH,7,0.5,0.7724,0.052026916,4.735376045,7.52,0.787,0.093801036
C6H2,c6,PC,OH,7,1,,,4.735376045,7.52,0.787,0.093801036
C7C,c7,PC,OC,14,0.909090909,0.8522,0.036169048,24.38316401,8.57,0.7491,0.048836436
C7F,c7,PC,OF,9,1,0.7926,0.048075982,24.38316401,8.57,0.7491,0.048836436
C7H,c7,PC,OH,7,1,0.8564,0.025890153,24.38316401,8.57,0.7491,0.048836436
C8C,c8,PC,OC,15,1,0.711,0.103264224,1.664145234,6.72,0.8194375,0.072279002
C8F,c8,PC,OF,10,1,0.894,0.061636028,1.664145234,6.72,0.8194375,0.072279002
C8H,c8,PC,OH,7,0.714285714,0.8452,0.032828341,1.664145234,6.72,0.8194375,0.072279002
C9C,c9,PC,OC,,0,,,2.733118971,6.39,0.8715,0.080780926
C9F,c9,PC,OF,10,0.875,0.8314,0.05595802,2.733118971,6.39,0.8715,0.080780926
C9H,c9,PC,OH,7,0.7,0.7988,0.136334882,2.733118971,6.39,0.8715,0.080780926
F1C,f1,PF,OC,14,1,0.8,0.073,4.987212276,8.21,0.76575,0.054071981
F1C2,f1,PF,OC,,1,,,4.987212276,8.21,0.76575,0.054071981
F1F,f1,PF,OF,8,1,0.854,0.038910153,4.987212276,8.21,0.76575,0.054071981
F1F2,f1,PF,OF,9,0.4,,,4.987212276,8.21,0.76575,0.054071981
