O_ID,p.treat,o.treat,egg_no,date laid,Order,Part,First Hatch date,ID,day 1,day 2,,Hatching success,Photo taken,S1,S2,S3,S4,S5,Size_ave,size_sd
C1H,C,H,6,21/2/2023,6,R,28/2/2023,7,2,4,,1,1-Mar,0.860,0.875,0.883,0.896,0.914,0.886,0.020549939
C1C,C,C,5,21/2/2023,6,M,6/3/2023,13,5,,,1,6-Mar,0.792,0.842,0.790,0.826,0.765,0.803,0.030757113
C1F,C,F,5,21/2/2023,6,L,1/3/2023,8,5,,,1,1-Mar,0.795,0.832,0.786,0.785,0.839,0.807,0.026063384
C2H,C,H,9,16/2/2023,5,L,23/2/2023,7,2,5,,0.777777778,23-Feb,0.761,0.803,0.793,0.700,0.808,0.773,0.044715769
C2C,C,C,10,16/2/2023,5,M,1/3/2023,13,1,1,5,0.7,2-Mar,0.787,0.818,0.753,0.736,0.843,0.787,0.044309141
C2F,C,F,9,16/2/2023,5,R,27/2/2023,11,4,1,,0.555555556,27-Feb,0.792,0.829,0.718,0.851,0.759,0.790,0.053363845
C3H,C,H,5,14/2/2023,2,L,21/2/2023,7,4,2,,1.2,22-Feb,0.921,0.783,0.926,0.922,0.941,0.899,0.065117586
C3C,C,C,6,14/2/2023,2,M,1/3/2023,15,1,4,1,1,2-Mar,0.708,0.734,0.746,0.764,0.699,0.730,0.026799254
C3F,C,F,7,14/2/2023,2,R,22/2/2023,8,2,5,,1,22-Feb,0.871,0.887,0.893,0.935,0.922,0.902,0.026245
C4H,C,H,7,18/2/2023,5,L,27/2/2023,9,7,,,1,27-Feb,0.867,0.915,0.908,0.901,0.879,0.894,0.020248457
C4C,C,C,9,18/2/2023,5,M,2/3/2023,12,1,1,7,1,6-Mar,0.975,0.842,0.934,0.863,0.850,0.893,0.05864043
C4F,C,F,7,18/2/2023,5,R,24/2/2023,6,2,2,3,1,27-Feb,0.873,0.954,0.759,0.714,0.899,0.840,0.1000035
C5H,C,H,13,16/2/2023,3,M,23/2/2023,7,8,3,,0.846153846,23-Feb,0.963,0.922,0.891,0.828,0.707,0.862,0.099778254
C5C,C,C,13,16/2/2023,3,L,1/3/2023,13,7,,,0.538461538,1-Mar,0.752,0.703,0.753,0.577,0.843,0.726,0.097240938
C5F,C,F,14,16/2/2023,3,R,24/2/2023,8,9,,,0.642857143,24-Feb,0.905,0.741,0.818,0.770,0.610,0.769,0.108354511
C5H2,C,H,5,21/2/2023,5,M,28/2/2023,7,4,,,0.8,NA,,,,,,,
C5C2,C,C,5,21/2/2023,5,R,,,,,,0,,,,,,,,
C5F2,C,F,4,21/2/2023,5,L,2/3/2023,9,1,,,0.25,,,,,,,,
H1H,H,H,16,17/2/2023,3,M,23/2/2023,6,8,7,1,1,23-Feb,0.921,0.799,0.865,0.864,0.890,0.862,0.044941073
H1C,H,C,11,17/2/2023,3,L,2/3/2023,13,9,,,0.818181818,2-Mar,0.714,0.741,0.851,0.861,0.738,0.781,0.069350559
H1F,H,F,13,17/2/2023,3,R,7/3/2023,18,1,,,0.076923077,?,?,,,,,,
H2H,H,H,3,17/2/2023,2,L,23/2/2023,6,1,,,0.333333333,23-Feb,0.801,,,,,0.801,
H2C,H,C,2,17/2/2023,2,R,6/3/2023,17,1,,,0.5,6-Mar,0.869,,,,,0.869,
H2F,H,F,2,17/2/2023,2,M,27/2/2023,10,1,1,,1,28-Feb,0.883,0.731,,,,0.807,0.107480231
H3H,H,H,3,16/2/2023,2,,NA,,,,,0,,,,,,,,
H3C,H,C,2,16/2/2023,2,,28/2/2023,12,1,1,,1,1-Mar,0.820,0.837,,,,0.829,0.012020815
H3F,H,F,3,16/2/2023,2,,24/2/2023,8,3,,,1,24-Feb,0.861,0.802,0.836,,,0.833,0.029614186
H4H,H,H,4,14/2/2023,1,M,21/2/2023,7,4,,,1,22-Feb,0.845,0.903,0.784,0.877,0.733,0.828,0.069417577
H4C,H,C,3,14/2/2023,1,L,NA,,,,,0,6-Mar,0.700,0.719,0.778,,,,0.040673497
H4F,H,F,4,14/2/2023,1,R,22/2/2023,8,1,3,,1,23-Feb,0.794,0.713,0.706,0.781,,0.749,0.045434935
H4H2,H,H,2,17/2/2023,6,R,23/2/2023,6,1,1,,1,,,,,,,,
H4C2,H,C,4,17/2/2023,6,L,2/3/2023,13,1,2,,0.75,,,,,,,,
H4F2,H,F,5,17/2/2023,6,M,NA,,2,3,,1,,,,,,,,
H5H,H,H,8,15/2/2023,3,R,22/2/2023,7,5,3,, ,22-Feb,0.888,0.898,0.816,0.743,0.894,0.848,0.067573664
H5C,H,C,10,15/2/2023,3,M,28/2/2023,13,6,,,0.6,28-Feb,0.780,0.838,0.761,0.716,0.830,0.785,0.050487622
H5F,H,F,7,15/2/2023,3,L,23/2/2023,8,1,5,,0.857142857,24-Feb,0.908,0.687,0.838,0.722,0.890,0.809,0.099569072
F1H,F,H,3,15/2/2023,5,M,22/2/2023,7,3,,,1,22-Feb,0.824,0.677,0.826,0.764,0.800,0.778,0.061848201
F1C,F,C,3,15/2/2023,5,R,1/3/2023,14,3,,,1,1-Mar,0.873,0.727,0.800,,,0.800,0.073
F1F,F,F,4,15/2/2023,5,L,23/2/2023,8,1,3,,1,24-Feb,0.812,0.870,0.854,0.910,0.824,0.854,0.038910153
F1H2,F,H,5,19/2/2023,1,L,27/2/2023,8,2,3,,1,,,,,,,,
F1C2,F,C,5,19/2/2023,1,M,,-44976,5,,,1,,,,,,,,
F1F2,F,F,5,19/2/2023,1,R,28/2/2023,9,2,,,0.4,NA,,,,,,,
F2H,F,H,13,15/2/2023,4,R,22/2/2023,7,7,4,,0.846153846,22-Feb,0.835,0.854,0.764,0.891,0.863,0.841,0.047742015
F2C,F,C,11,15/2/2023,4,L,28/2/2023,13,8,,,0.727272727,28-Feb,0.849,0.801,0.850,0.836,0.763,0.820,0.037439284
F2F,F,F,12,15/2/2023,4,M,23/2/2023,8,7,5,,1,23-Feb,0.775,0.855,0.881,0.890,0.858,0.852,0.04543897
F2H2,F,H,7,19/2/2023,5,R,27/2/2023,8,7,,,1,,,,,,,,
F2C2,F,C,5,19/2/2023,5,L,,-44976,,,,0,,,,,,,,
F2F2,F,F,6,19/2/2023,5,M,28/2/2023,9,1,,,0.166666667,,,,,,,,
F3H,F,H,17,15/2/2023,6,R,22/2/2023,7,10,6,,0.941176471,22-Feb,0.797,0.783,0.795,0.836,0.809,0.804,0.020124612
F3C,F,C,23,15/2/2023,6,M,28/2/2023,13,11,2,,0.565217391,28-Feb,0.810,0.724,0.749,0.824,0.749,0.771,0.043320896
F3F,F,F,19,15/2/2023,6,L,23/2/2023,8,7,9,,0.842105263,23-Feb,0.748,0.743,0.778,0.665,0.808,0.748,0.05341629
F4H,F,H,2,15/2/2023,2,L,22/2/2023,7,1,,,0.5,23-Feb,0.713,,,,,0.713,
F4C,F,C,3,15/2/2023,2,R,6/3/2023,19,2,,,0.666666667,6-Mar,0.676,0.764,,,,0.720,0.062225397
F4F,F,F,1,15/2/2023,2,M,23/2/2023,8,1,,,1,23-Feb,0.964,,,,,0.964,
F5H,F,H,7,19/2/2023,4,M,27/2/2023,8,5,,,0.714285714,27-Feb,0.870,0.917,0.886,0.948,0.803,0.885,0.054641559
F5C,F,C,5,19/2/2023,4,L,2/3/2023,11,2,1,,0.6,2-Mar,0.785,0.716,0.625,,,0.709,0.080251687
F5F,F,F,5,19/2/2023,4,R,27/2/2023,8,3,1,1,1,28-Feb,0.860,0.886,0.911,0.872,0.750,0.856,0.062114411
