o.ID,parent,p.treat,o.treat,ID,survival,offspring.size,offspring.sizesd,eggsize,eggSD,
C1C,c1,PC,OC,13,1,0.792,0.030757113,0.8478,0.081985974,
C1C,c1,PC,OC,,,0.842,0.030757113,0.8478,0.081985974,
C1C,c1,PC,OC,,,0.790,0.030757113,0.8478,0.081985974,
C1C,c1,PC,OC,,,0.826,0.030757113,0.8478,0.081985974,
C1C,c1,PC,OC,,,0.765,0.030757113,0.8478,0.081985974,
C1F,c1,PC,OC,8,1,0.795,0.026063384,0.8478,0.081985974,
C1F,c1,PC,OC,,,0.832,0.026063384,0.8478,0.081985974,
C1F,c1,PC,OC,,,0.786,0.026063384,0.8478,0.081985974,
C1F,c1,PC,OC,,,0.785,0.026063384,0.8478,0.081985974,
C1F,c1,PC,OC,,,0.839,0.026063384,0.8478,0.081985974,
C1H,c1,PC,OC,7,1,0.860,0.020549939,0.8478,0.081985974,
C1H,c1,PC,OC,,,0.875,0.020549939,0.8478,0.081985974,
C1H,c1,PC,OC,,,0.883,0.020549939,0.8478,0.081985974,
C1H,c1,PC,OC,,,0.896,0.020549939,0.8478,0.081985974,
C1H,c1,PC,OC,,,0.914,0.020549939,0.8478,0.081985974,
C10C,c10,PC,OC,15,1,0.7,0.067559603,0.858,0.087407816,
C10C,c10,PC,OC,,,0.743,0.067559603,0.858,0.087407816,
C10C,c10,PC,OC,,,0.787,0.067559603,0.858,0.087407816,
C10C,c10,PC,OC,,,0.873,0.067559603,0.858,0.087407816,
C10C,c10,PC,OC,,,0.824,0.067559603,0.858,0.087407816,
C10C2,c10,PC,OC,,1,,,0.8058,0.033357158,
C10F,c10,PC,OC,10,1,0.936,0.032354289,0.858,0.087407816,
C10F,c10,PC,OC,,,0.868,0.032354289,0.858,0.087407816,
C10F,c10,PC,OC,,,0.86,0.032354289,0.858,0.087407816,
C10F,c10,PC,OC,,,0.862,0.032354289,0.858,0.087407816,
C10F,c10,PC,OC,,,0.866,0.032354289,0.858,0.087407816,
C10F2,c10,PC,OC,,1,,,0.8058,0.033357158,
C10H,c10,PC,OC,7,1,0.832,0.056284989,0.858,0.087407816,
C10H,c10,PC,OC,,,0.796,0.056284989,0.858,0.087407816,
C10H,c10,PC,OC,,,0.712,0.056284989,0.858,0.087407816,
C10H,c10,PC,OC,,,0.842,0.056284989,0.858,0.087407816,
C10H,c10,PC,OC,,,0.848,0.056284989,0.858,0.087407816,
C10H2,c10,PC,OC,7,0,,,0.8058,0.033357158,
C2C,c2,PC,OC,13,1,0.787,0.044309141,0.7894,0.070755647,
C2C,c2,PC,OC,,,0.818,0.044309141,0.7894,0.070755647,
C2C,c2,PC,OC,,,0.753,0.044309141,0.7894,0.070755647,
C2C,c2,PC,OC,,,0.736,0.044309141,0.7894,0.070755647,
C2C,c2,PC,OC,,,0.843,0.044309141,0.7894,0.070755647,
C2F,c2,PC,OC,11,1,0.792,0.053363845,0.7894,0.070755647,
C2F,c2,PC,OC,,,0.829,0.053363845,0.7894,0.070755647,
C2F,c2,PC,OC,,,0.718,0.053363845,0.7894,0.070755647,
C2F,c2,PC,OC,,,0.851,0.053363845,0.7894,0.070755647,
C2F,c2,PC,OC,,,0.759,0.053363845,0.7894,0.070755647,
C2H,c2,PC,OC,7,1,0.761,0.044715769,0.7894,0.070755647,
C2H,c2,PC,OC,,,0.803,0.044715769,0.7894,0.070755647,
C2H,c2,PC,OC,,,0.793,0.044715769,0.7894,0.070755647,
C2H,c2,PC,OC,,,0.700,0.044715769,0.7894,0.070755647,
C2H,c2,PC,OC,,,0.808,0.044715769,0.7894,0.070755647,
C3C,c3,PC,OC,15,1,0.708,0.026799254,0.8308,0.046485496,
C3C,c3,PC,OC,,,0.734,0.026799254,0.8308,0.046485496,
C3C,c3,PC,OC,,,0.746,0.026799254,0.8308,0.046485496,
C3C,c3,PC,OC,,,0.764,0.026799254,0.8308,0.046485496,
C3C,c3,PC,OC,,,0.699,0.026799254,0.8308,0.046485496,
C3F,c3,PC,OF,8,1,0.871,0.026245,0.8308,0.046485496,
C3F,c3,PC,OF,,,0.887,0.026245,0.8308,0.046485496,
C3F,c3,PC,OF,,,0.893,0.026245,0.8308,0.046485496,
C3F,c3,PC,OF,,,0.935,0.026245,0.8308,0.046485496,
C3F,c3,PC,OF,,,0.922,0.026245,0.8308,0.046485496,
C3H,c3,PC,OH,7,1,0.921,0.065117586,0.8308,0.046485496,
C3H,c3,PC,OH,,,0.783,0.065117586,0.8308,0.046485496,
C3H,c3,PC,OH,,,0.926,0.065117586,0.8308,0.046485496,
C3H,c3,PC,OH,,,0.922,0.065117586,0.8308,0.046485496,
C3H,c3,PC,OH,,,0.941,0.065117586,0.8308,0.046485496,
C4C,c4,PC,OC,12,1,0.975,0.05864043,0.8296,0.070769344,
C4C,c4,PC,OC,,,0.842,0.05864043,0.8296,0.070769344,
C4C,c4,PC,OC,,,0.934,0.05864043,0.8296,0.070769344,
C4C,c4,PC,OC,,,0.863,0.05864043,0.8296,0.070769344,
C4C,c4,PC,OC,,,0.850,0.05864043,0.8296,0.070769344,
C4F,c4,PC,OF,6,1,0.873,0.1000035,0.8296,0.070769344,
C4F,c4,PC,OF,,,0.954,0.1000035,0.8296,0.070769344,
C4F,c4,PC,OF,,,0.759,0.1000035,0.8296,0.070769344,
C4F,c4,PC,OF,,,0.714,0.1000035,0.8296,0.070769344,
C4F,c4,PC,OF,,,0.899,0.1000035,0.8296,0.070769344,
C4H,c4,PC,OH,9,1,0.867,0.020248457,0.8296,0.070769344,
C4H,c4,PC,OH,,,0.915,0.020248457,0.8296,0.070769344,
C4H,c4,PC,OH,,,0.908,0.020248457,0.8296,0.070769344,
C4H,c4,PC,OH,,,0.901,0.020248457,0.8296,0.070769344,
C4H,c4,PC,OH,,,0.879,0.020248457,0.8296,0.070769344,
C5C,c5,PC,OC,13,1,0.752,0.097240938,0.7836,0.09696384,
C5C,c5,PC,OC,,,0.703,0.097240938,0.7836,0.09696384,
C5C,c5,PC,OC,,,0.753,0.097240938,0.7836,0.09696384,
C5C,c5,PC,OC,,,0.577,0.097240938,0.7836,0.09696384,
C5C,c5,PC,OC,,,0.843,0.097240938,0.7836,0.09696384,
C5C2,c5,PC,OC,,0,,,0.8322,0.076099934,
C5F,c5,PC,OF,8,1,0.905,0.108354511,0.7836,0.09696384,
C5F,c5,PC,OF,,,0.741,0.108354511,0.7836,0.09696384,
C5F,c5,PC,OF,,,0.818,0.108354511,0.7836,0.09696384,
C5F,c5,PC,OF,,,0.770,0.108354511,0.7836,0.09696384,
C5F,c5,PC,OF,,,0.610,0.108354511,0.7836,0.09696384,
C5F2,c5,PC,OF,9,1,,,0.8322,0.076099934,
C5H,c5,PC,OH,7,1,0.963,0.099778254,0.7836,0.09696384,
C5H,c5,PC,OH,,,0.922,0.099778254,0.7836,0.09696384,
C5H,c5,PC,OH,,,0.891,0.099778254,0.7836,0.09696384,
C5H,c5,PC,OH,,,0.828,0.099778254,0.7836,0.09696384,
C5H,c5,PC,OH,,,0.707,0.099778254,0.7836,0.09696384,
C5H2,c5,PC,OH,7,1,,,0.8322,0.076099934,
C6C,c6,PC,OC,14,1,0.829,0.076816014,0.787,0.093851195,
C6C,c6,PC,OC,,,0.840,0.076816014,0.787,0.093851195,
C6C,c6,PC,OC,,,0.670,0.076816014,0.787,0.093851195,
C6C,c6,PC,OC,,,0.844,0.076816014,0.787,0.093851195,
C6C,c6,PC,OC,,,0.741,0.076816014,0.787,0.093851195,
C6C2,c6,PC,OC,14,1,,,0.781,0.071512237,
C6F,c6,PC,OF,10,1,0.722,0.105029996,0.787,0.093851195,
C6F,c6,PC,OF,,,0.920,0.105029996,0.787,0.093851195,
C6F,c6,PC,OF,,,0.887,0.105029996,0.787,0.093851195,
C6F,c6,PC,OF,,,0.983,0.105029996,0.787,0.093851195,
C6F,c6,PC,OF,,,0.785,0.105029996,0.787,0.093851195,
C6F2,c6,PC,OF,7,1,,,0.781,0.071512237,
C6H,c6,PC,OH,7,1,0.682,0.052026916,0.787,0.093851195,
C6H,c6,PC,OH,,,0.796,0.052026916,0.787,0.093851195,
C6H,c6,PC,OH,,,0.790,0.052026916,0.787,0.093851195,
C6H,c6,PC,OH,,,0.814,0.052026916,0.787,0.093851195,
C6H,c6,PC,OH,,,0.780,0.052026916,0.787,0.093851195,
C6H2,c6,PC,OH,7,1,,,0.781,0.071512237,
C7C,c7,PC,OC,14,1,0.844,0.036169048,0.7491,0.048836436,
C7C,c7,PC,OC,,,0.796,0.036169048,0.7491,0.048836436,
C7C,c7,PC,OC,,,0.894,0.036169048,0.7491,0.048836436,
C7C,c7,PC,OC,,,0.865,0.036169048,0.7491,0.048836436,
C7C,c7,PC,OC,,,0.862,0.036169048,0.7491,0.048836436,
C7F,c7,PC,OF,9,1,0.739,0.048075982,0.7491,0.048836436,
C7F,c7,PC,OF,,,0.753,0.048075982,0.7491,0.048836436,
C7F,c7,PC,OF,,,0.818,0.048075982,0.7491,0.048836436,
C7F,c7,PC,OF,,,0.857,0.048075982,0.7491,0.048836436,
C7F,c7,PC,OF,,,0.796,0.048075982,0.7491,0.048836436,
C7H,c7,PC,OH,7,1,0.82,0.025890153,0.7491,0.048836436,
C7H,c7,PC,OH,,,0.882,0.025890153,0.7491,0.048836436,
C7H,c7,PC,OH,,,0.849,0.025890153,0.7491,0.048836436,
C7H,c7,PC,OH,,,0.85,0.025890153,0.7491,0.048836436,
C7H,c7,PC,OH,,,0.881,0.025890153,0.7491,0.048836436,
C8C,c8,PC,OC,15,1,0.579,0.103264224,0.8194375,0.072279002,
C8C,c8,PC,OC,,,0.632,0.103264224,0.8194375,0.072279002,
C8C,c8,PC,OC,,,0.779,0.103264224,0.8194375,0.072279002,
C8C,c8,PC,OC,,,0.828,0.103264224,0.8194375,0.072279002,
C8C,c8,PC,OC,,,0.737,0.103264224,0.8194375,0.072279002,
C8F,c8,PC,OF,10,1,0.935,0.061636028,0.8194375,0.072279002,
C8F,c8,PC,OF,,,0.793,0.061636028,0.8194375,0.072279002,
C8F,c8,PC,OF,,,0.915,0.061636028,0.8194375,0.072279002,
C8F,c8,PC,OF,,,0.881,0.061636028,0.8194375,0.072279002,
C8F,c8,PC,OF,,,0.946,0.061636028,0.8194375,0.072279002,
C8H,c8,PC,OH,7,1,0.796,0.032828341,0.8194375,0.072279002,
C8H,c8,PC,OH,,,0.866,0.032828341,0.8194375,0.072279002,
C8H,c8,PC,OH,,,0.873,0.032828341,0.8194375,0.072279002,
