Cold,Hot,Fluct
19,26,28
19,26,28
19,26,28
19,26,28
19,26,28
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,28.5
19,26,25
19,26,23
19,26,21.5
19,26,21
19,26,20.5
19,26,20
19,26,19.5
19,26,19.5
19,26,19.5
19,26.5,19.5
19,26.5,20.5
19,26.5,19.5
19,26.5,19.5
19,26.5,21
19,26.5,19.5
19,26.5,19.5
19,26,20.5
19,26,19.5
19,26,20
19,26,20.5
19,26,19.5
19,26,20.5
19,26,20.5
19,26,20
19,26,23.5
19,26,25.5
19,26,26.5
19,26,27
19,26,27.5
19,25.5,27.5
19,25.5,28
19,25.5,28
19,25.5,28
19,26,27.5
19,26,27.5
19.5,26,27.5
19.5,26,27.5
19,26,27.5
19,26,27.5
19,26,27.5
19,26,27.5
19,26,27.5
19,26,27.5
19,26,27.5
19.5,26,27.5
19.5,26,28
19.5,26,27.5
19,26,27.5
19,26,24.5
19,26,22.5
19.5,26,21.5
19.5,26,21
19.5,26,20.5
19.5,26,20
19,26,19.5
19,26,19.5
19,26,19.5
19,26,19.5
19.5,26,20
19,26,20.5
19.5,26,19.5
