Treatment,Value
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.5
Cold,19.5
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.5
Cold,19.5
Cold,19.5
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.5
Cold,19.5
Cold,19.5
Cold,19.5
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.0
Cold,19.5
Cold,19.0
Cold,19.5
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.5
Hot,26.5
Hot,26.5
Hot,26.5
Hot,26.5
Hot,26.5
Hot,26.5
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,25.5
Hot,25.5
Hot,25.5
Hot,25.5
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Hot,26.0
Fluct,28.0
Fluct,28.0
Fluct,28.0
Fluct,28.0
Fluct,28.0
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,28.5
Fluct,25.0
Fluct,23.0
Fluct,21.5
Fluct,21.0
Fluct,20.5
Fluct,20.0
Fluct,19.5
Fluct,19.5
Fluct,19.5
Fluct,19.5
Fluct,20.5
Fluct,19.5
Fluct,19.5
Fluct,21.0
Fluct,19.5
Fluct,19.5
Fluct,20.5
Fluct,19.5
Fluct,20.0
Fluct,20.5
Fluct,19.5
Fluct,20.5
Fluct,20.5
Fluct,20.0
Fluct,23.5
Fluct,25.5
Fluct,26.5
Fluct,27.0
Fluct,27.5
Fluct,27.5
Fluct,28.0
Fluct,28.0
Fluct,28.0
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,27.5
Fluct,28.0
Fluct,27.5
Fluct,27.5
Fluct,24.5
Fluct,22.5
Fluct,21.5
Fluct,21.0
Fluct,20.5
Fluct,20.0
Fluct,19.5
Fluct,19.5
Fluct,19.5
Fluct,19.5
Fluct,20.0
Fluct,20.5
Fluct,19.5
